T\p00_WVO\p00_RIT\p00_exact
1	0.8819101034681401	0.878459124115808	0.881108362587192
2	0.7321294966771876	0.7321450930828404	0.7314814384390548
5	0.5983911270394681	0.5978165092218019	0.597945162381357
10	0.5506828782763536	0.5504800376694042	0.5500528644235458
20	0.5239664225800198	0.5242123998945485	0.5241506623489627
50	0.5105245406161658	0.5105941556022802	0.5102566489014912
100	0.5048398029255258	0.5048253396892206	0.5048175022297199
200	0.5023743456395098	0.50220590521129	0.5022210506247243
500	0.5010171589766779	0.5010411234687804	0.5009329986506659
1000	0.5004397273802782	0.5004464865728837	0.500339825230901
